P,S,T,S^2,PxS,Px(S^2),(P^2) xS,(P^2) x (S^2),Temp
18,1773,390,3143529,31914,56583522,574452,1018503396,45
18,1770,400,3132900,31860,56392200,573480,1015059600,44
18,1773,600,3143529,31914,56583522,574452,1018503396,44
18,1984,2080,3936256,35712,70852608,642816,1275346944,44
18,1737,410,3017169,31266,54309042,562788,977562756,43
18,1706,420,2910436,30708,52387848,552744,942981264,43
18,1762,590,3104644,31716,55883592,570888,1005904656,43
18,1976,2070,3904576,35568,70282368,640224,1265082624,43
18,1665,430,2772225,29970,49900050,539460,898200900,42
18,1578,920,2490084,28404,44821512,511272,806787216,40
18,1424,1420,2027776,25632,36499968,461376,656999424,40
18,1569,930,2461761,28242,44311698,508356,797610564,39
18,1388,1430,1926544,24984,34677792,449712,624200256,39
19,2426,1190,5885476,46094,111824044,875786,2124656836,53
19,1967,1110,3869089,37373,73512691,710087,1396741129,50
19,1955,1200,3822025,37145,72618475,705755,1379751025,50
19,1945,1210,3783025,36955,71877475,702145,1365672025,50
19,1945,1680,3783025,36955,71877475,702145,1365672025,50
19,2047,690,4190209,38893,79613971,738967,1512665449,49
19,1962,670,3849444,37278,73139436,708282,1389649284,48
19,1787,1560,3193369,33953,60674011,645107,1152806209,48
19,1802,160,3247204,34238,61696876,650522,1172240644,47
19,1834,170,3363556,34846,63907564,662074,1214243716,47
19,1857,350,3448449,35283,65520531,670377,1244890089,47
19,1839,360,3381921,34941,64256499,663879,1220873481,47
19,1825,370,3330625,34675,63281875,658825,1202355625,46
19,1788,610,3196944,33972,60741936,645468,1154096784,45
19,1948,2060,3794704,37012,72099376,703228,1369888144,43
19,1908,2050,3640464,36252,69168816,688788,1314207504,42
19,1517,1390,2301289,28823,43724491,547637,830765329,40
19,1487,1400,2211169,28253,42012211,536807,798232009,40
19,1463,1410,2140369,27797,40667011,528143,772673209,40
19,1559,1930,2430481,29621,46179139,562799,877403641,40
19,1606,1940,2579236,30514,49005484,579766,931104196,40
19,1579,940,2493241,30001,47371579,570019,900060001,39
20,1895,190,3591025,37900,71820500,758000,1436410000,49
20,1963,1100,3853369,39260,77067380,785200,1541347600,49
20,1904,1220,3625216,38080,72504320,761600,1450086400,49
20,1894,1230,3587236,37880,71744720,757600,1434894400,49
20,1866,180,3481956,37320,69639120,746400,1392782400,48
20,1884,330,3549456,37680,70989120,753600,1419782400,48
20,1929,660,3721041,38580,74420820,771600,1488416400,48
20,1955,1090,3822025,39100,76440500,782000,1528810000,48
20,1790,1570,3204100,35800,64082000,716000,1281640000,48
20,1811,1580,3279721,36220,65594420,724400,1311888400,48
20,1870,340,3496900,37400,69938000,748000,1398760000,47
20,1816,620,3297856,36320,65957120,726400,1319142400,45
20,1882,2040,3541924,37640,70838480,752800,1416769600,42
20,1550,1380,2402500,31000,48050000,620000,961000000,41
20,1680,1960,2822400,33600,56448000,672000,1128960000,41
20,1605,950,2576025,32100,51520500,642000,1030410000,40
20,1570,1900,2464900,31400,49298000,628000,985960000,40
20,1532,1910,2347024,30640,46940480,612800,938809600,40
20,1640,1950,2689600,32800,53792000,656000,1075840000,40
20,1524,1920,2322576,30480,46451520,609600,929030400,39
21,2332,1170,5438224,48972,114202704,1028412,2398256784,54
21,1921,200,3690241,40341,77495061,847161,1627396281,50
21,2052,700,4210704,43092,88424784,904932,1856920464,50
21,1923,760,3697929,40383,77656509,848043,1630786689,49
21,1858,1240,3452164,39018,72495444,819378,1522404324,49
21,1854,1250,3437316,38934,72183636,817614,1515856356,49
21,1931,320,3728761,40551,78303981,851571,1644383601,48
21,1891,650,3575881,39711,75093501,833931,1576963521,48
21,1908,1080,3640464,40068,76449744,841428,1605444624,48
21,1811,1590,3279721,38031,68874141,798651,1446356961,48
21,1845,630,3404025,38745,71484525,813645,1501175025,46
21,1706,1310,2910436,35826,61119156,752346,1283502276,45
21,1657,1320,2745649,34797,57658629,730737,1210831209,44
21,1616,1330,2611456,33936,54840576,712656,1151652096,44
21,1604,1340,2572816,33684,54029136,707364,1134611856,43
21,1588,1350,2521744,33348,52956624,700308,1112089104,42
21,1714,1980,2937796,35994,61693716,755874,1295568036,42
21,1760,1990,3097600,36960,65049600,776160,1366041600,42
21,1574,1360,2477476,33054,52026996,694134,1092566916,41
21,1572,1370,2471184,33012,51894864,693252,1089792144,41
21,1584,1890,2509056,33264,52690176,698544,1106493696,41
21,1699,1970,2886601,35679,60618621,749259,1272991041,41
22,1967,750,3869089,43274,85119958,952028,1872639076,52
22,1961,210,3845521,43142,84601462,949124,1861232164,50
22,1996,290,3984016,43912,87648352,966064,1928263744,49
22,1971,300,3884841,43362,85466502,953964,1880263044,49
22,1939,310,3759721,42658,82713862,938476,1819704964,49
22,1849,1260,3418801,40678,75213622,894916,1654699684,48
22,1859,1600,3455881,40898,76029382,899756,1672646404,48
22,1853,640,3433609,40766,75539398,896852,1661866756,47
22,1889,1070,3568321,41558,78503062,914276,1727067364,47
22,1849,1270,3418801,40678,75213622,894916,1654699684,47
22,1809,1280,3272481,39798,71994582,875556,1583880804,47
22,1861,1060,3463321,40942,76193062,900724,1676247364,46
22,1781,1290,3171961,39182,69783142,862004,1535229124,46
22,1854,1050,3437316,40788,75620952,897336,1663660944,45
22,1742,1300,3034564,38324,66760408,843128,1468728976,45
22,1854,1040,3437316,40788,75620952,897336,1663660944,44
22,1816,1030,3297856,39952,72552832,878944,1596162304,43
22,1611,1880,2595321,35442,57097062,779724,1256135364,42
22,1789,2000,3200521,39358,70411462,865876,1549052164,42
23,2098,740,4401604,48254,101236892,1109842,2328448516,55
23,2116,710,4477456,48668,102981488,1119364,2368574224,51
23,2006,220,4024036,46138,92552828,1061174,2128715044,50
23,2021,280,4084441,46483,93942143,1069109,2160669289,50
23,1800,1020,3240000,41400,74520000,952200,1713960000,43
23,1626,1870,2643876,37398,60809148,860154,1398610404,43
23,1822,2010,3319684,41906,76352732,963838,1756112836,42
24,2215,730,4906225,53160,117749400,1275840,2825985600,59
24,2198,230,4831204,52752,115948896,1266048,2782773504,53
24,2003,1620,4012009,48072,96288216,1153728,2310917184,51
24,1988,1610,3952144,47712,94851456,1145088,2276434944,50
24,1701,1850,2893401,40824,69441624,979776,1666598976,44
24,1654,1860,2735716,39696,65657184,952704,1575772416,43
24,1800,1010,3240000,43200,77760000,1036800,1866240000,42
24,1838,2020,3378244,44112,81077856,1058688,1945868544,42
25,2110,1630,4452100,52750,111302500,1318750,2782562500,51
25,1803,1790,3250809,45075,81270225,1126875,2031755625,47
25,1786,1800,3189796,44650,79744900,1116250,1993622500,46
