Pressure,RPM,Time,RPM^2Pressure*RPMPressure* RPM^2Pressure^2 *RPMPressure^2 *RPM^2Temp
16,1852,1010,3429904,29632,54878464,474112,878055424,50
15,1847,1020,3411409,27705,51171135,415575,767567025,49
14,1818,1030,3305124,25452,46271736,356328,647804304,48
14,1810,1040,3276100,25340,45865400,354760,642115600,47
13,1762,1050,3104644,22906,40360372,297778,524684836,46
12,1721,1060,2961841,20652,35542092,247824,426505104,46
11,1691,1070,2859481,18601,31454291,204611,345997201,46
11,1678,1080,2815684,18458,30972524,203038,340697764,46
10,1678,1090,2815684,16780,28156840,167800,281568400,46
10,1671,1100,2792241,16710,27922410,167100,279224100,45
9,1642,1110,2696164,14778,24265476,133002,218389284,45
9,1595,1120,2544025,14355,22896225,129195,206066025,44
9,1549,1130,2399401,13941,21594609,125469,194351481,44
8,1513,1140,2289169,12104,18313352,96832,146506816,44
8,1492,1150,2226064,11936,17808512,95488,142468096,44
8,1465,1160,2146225,11720,17169800,93760,137358400,44
8,1423,1170,2024929,11384,16199432,91072,129595456,43
8,1378,1180,1898884,11024,15191072,88192,121528576,42
8,1339,1190,1792921,10712,14343368,85696,114746944,42
7,1307,1200,1708249,9149,11957743,64043,83704201,41
6,1294,1210,1674436,7764,10046616,46584,60279696,40
5,1246,1220,1552516,6230,7762580,31150,38812900,40
4,1235,1230,1525225,4940,6100900,19760,24403600,40
3,1194,1240,1425636,3582,4276908,10746,12830724,40
2,1165,1250,1357225,2330,2714450,4660,5428900,39
2,1194,1260,1425636,2388,2851272,4776,5702544,40
3,1239,1270,1535121,3717,4605363,11151,13816089,41
4,1257,1280,1580049,5028,6320196,20112,25280784,41
4,1258,1290,1582564,5032,6330256,20128,25321024,42
4,1280,1300,1638400,5120,6553600,20480,26214400,43
5,1322,1310,1747684,6610,8738420,33050,43692100,43
5,1349,1320,1819801,6745,9099005,33725,45495025,44
6,1370,1330,1876900,8220,11261400,49320,67568400,44
7,1413,1340,1996569,9891,13975983,69237,97831881,44
7,1438,1350,2067844,10066,14474908,70462,101324356,45
8,1462,1360,2137444,11696,17099552,93568,136796416,45
9,1488,1370,2214144,13392,19927296,120528,179345664,45
9,1492,1380,2226064,13428,20034576,120852,180311184,45
9,1497,1390,2241009,13473,20169081,121257,181521729,46
9,1504,1400,2262016,13536,20358144,121824,183223296,46
9,1522,1410,2316484,13698,20848356,123282,187635204,47
10,1555,1420,2418025,15550,24180250,155500,241802500,47
10,1576,1430,2483776,15760,24837760,157600,248377600,47
11,1610,1440,2592100,17710,28513100,194810,313644100,47
11,1623,1450,2634129,17853,28975419,196383,318729609,48
12,1642,1460,2696164,19704,32353968,236448,388247616,49
12,1684,1470,2835856,20208,34030272,242496,408363264,49
13,1725,1480,2975625,22425,38683125,291525,502880625,50
14,1763,1490,3108169,24682,43514366,345548,609201124,50
15,1784,1500,3182656,26760,47739840,401400,716097600,50
16,1818,1510,3305124,29088,52881984,465408,846111744,51
16,1781,1520,3171961,28496,50751376,455936,812022016,50
15,1734,1530,3006756,26010,45101340,390150,676520100,50
14,1689,1540,2852721,23646,39938094,331044,559133316,50
14,1658,1550,2748964,23212,38485496,324968,538796944,49
14,1655,1560,2739025,23170,38346350,324380,536848900,48
13,1643,1570,2699449,21359,35092837,277667,456206881,47
13,1634,1580,2669956,21242,34709428,276146,451222564,47
12,1621,1590,2627641,19452,31531692,233424,378380304,47
11,1582,1600,2502724,17402,27529964,191422,302829604,46
10,1559,1610,2430481,15590,24304810,155900,243048100,46
9,1523,1620,2319529,13707,20875761,123363,187881849,46
9,1485,1630,2205225,13365,19847025,120285,178623225,45
9,1471,1640,2163841,13239,19474569,119151,175271121,45
9,1424,1650,2027776,12816,18249984,115344,164249856,45
9,1397,1660,1951609,12573,17564481,113157,158080329,45
9,1374,1670,1887876,12366,16990884,111294,152917956,45
9,1349,1680,1819801,12141,16378209,109269,147403881,45
8,1314,1690,1726596,10512,13812768,84096,110502144,45
8,1280,1700,1638400,10240,13107200,81920,104857600,45
8,1273,1710,1620529,10184,12964232,81472,103713856,44
7,1255,1720,1575025,8785,11025175,61495,77176225,44
7,1232,1730,1517824,8624,10624768,60368,74373376,44
7,1189,1740,1413721,8323,9896047,58261,69272329,43
7,1163,1750,1352569,8141,9467983,56987,66275881,42
6,1158,1760,1340964,6948,8045784,41688,48274704,42
5,1154,1770,1331716,5770,6658580,28850,33292900,42
4,1121,1780,1256641,4484,5026564,17936,20106256,42
4,1102,1790,1214404,4408,4857616,17632,19430464,41
3,1054,1800,1110916,3162,3332748,9486,9998244,41
2,1042,1810,1085764,2084,2171528,4168,4343056,41
1,1008,1820,1016064,1008,1016064,1008,1016064,40
0,971,1830,942841,0,0,0,0,39
1,986,1840,972196,986,972196,986,972196,39
1,1028,1850,1056784,1028,1056784,1028,1056784,39
2,1054,1860,1110916,2108,2221832,4216,4443664,39
3,1077,1870,1159929,3231,3479787,9693,10439361,39
4,1104,1880,1218816,4416,4875264,17664,19501056,39
4,1112,1890,1236544,4448,4946176,17792,19784704,39
4,1132,1900,1281424,4528,5125696,18112,20502784,39
5,1177,1910,1385329,5885,6926645,29425,34633225,39
5,1186,1920,1406596,5930,7032980,29650,35164900,39
6,1193,1930,1423249,7158,8539494,42948,51236964,40
7,1212,1940,1468944,8484,10282608,59388,71978256,41
8,1224,1950,1498176,9792,11985408,78336,95883264,41
8,1264,1960,1597696,10112,12781568,80896,102252544,41
9,1287,1970,1656369,11583,14907321,104247,134165889,42
9,1331,1980,1771561,11979,15944049,107811,143496441,42
